Year,Category,Demographic,TotalGrads
2001,4 Year  June,Asian,66.3
2001,5 Year  June,Asian,75.2
2002,4 Year  June,Asian,67.1
2002,5 Year  June,Asian,76.3
2003,4 Year  June,Asian,71.8
2003,5 Year  June,Asian,80.5
2004,4 Year  June,Asian,74.1
2004,4 Year August,Asian,77.6
2004,5 Year  June,Asian,82.6
2005,4 Year  June,Asian,76.8
2005,4 Year August,Asian,80.1
2005,5 Year  June,Asian,84.5
2006,4 Year  June,Asian,78.9
2006,4 Year August,Asian,82.4
2006,5 Year  June,Asian,85.5
2006,5 Year August,Asian,86.1
2007,4 Year  June,Asian,79.3
2007,4 Year August,Asian,82.9
2007,5 Year  June,Asian,86
2007,5 Year August,Asian,86.7
2008,4 Year  June,Asian,79.1
2008,4 Year August,Asian,82.1
2008,5 Year  June,Asian,85.2
2008,5 Year August,Asian,85.9
2009,4 Year  June,Asian,77.4
2009,4 Year August,Asian,81.1
2009,5 Year  June,Asian,84.3
2009,5 Year August,Asian,85
2010,4 Year  June,Asian,79.4
2010,4 Year August,Asian,82.6
2010,5 Year  June,Asian,86
2010,5 Year August,Asian,86.5
2011,4 Year  June,Asian,82.5
2011,4 Year August,Asian,85
2001,4 Year  June,Black,40.1
2001,5 Year  June,Black,49.8
2002,4 Year  June,Black,42.9
2002,5 Year  June,Black,53.2
2003,4 Year  June,Black,47.8
2003,5 Year  June,Black,58.2
2004,4 Year  June,Black,51.4
2004,4 Year August,Black,55.9
2004,5 Year  June,Black,61.6
2005,4 Year  June,Black,53.9
2005,4 Year August,Black,57.8
2005,5 Year  June,Black,63
2006,4 Year  June,Black,55.9
2006,4 Year August,Black,60.6
2006,5 Year  June,Black,65.4
2006,5 Year August,Black,66.6
2007,4 Year  June,Black,55.3
2007,4 Year August,Black,60.4
2007,5 Year  June,Black,65.7
2007,5 Year August,Black,66.7
2008,4 Year  June,Black,55
2008,4 Year August,Black,59.8
2008,5 Year  June,Black,65.2
2008,5 Year August,Black,66.5
2009,4 Year  June,Black,56
2009,4 Year August,Black,61.2
2009,5 Year  June,Black,67.2
2009,5 Year August,Black,68.5
2010,4 Year  June,Black,58.8
2010,4 Year August,Black,63.8
2010,5 Year  June,Black,70.3
2010,5 Year August,Black,71.2
2011,4 Year  June,Black,61.7
2011,4 Year August,Black,65.4
2001,4 Year  June,Hispanic,37.4
2001,5 Year  June,Hispanic,47.4
2002,4 Year  June,Hispanic,40.1
2002,5 Year  June,Hispanic,50.7
2003,4 Year  June,Hispanic,43.5
2003,5 Year  June,Hispanic,54.5
2004,4 Year  June,Hispanic,48.7
2004,4 Year August,Hispanic,53.3
2004,5 Year  June,Hispanic,59.4
2005,4 Year  June,Hispanic,51.8
2005,4 Year August,Hispanic,55.9
2005,5 Year  June,Hispanic,61.9
2006,4 Year  June,Hispanic,53.9
2006,4 Year August,Hispanic,58.2
2006,5 Year  June,Hispanic,63.1
2006,5 Year August,Hispanic,64.2
2007,4 Year  June,Hispanic,53.9
2007,4 Year August,Hispanic,59
2007,5 Year  June,Hispanic,64.3
2007,5 Year August,Hispanic,65.5
2008,4 Year  June,Hispanic,52.7
2008,4 Year August,Hispanic,57.5
2008,5 Year  June,Hispanic,63
2008,5 Year August,Hispanic,64.2
2009,4 Year  June,Hispanic,53.6
2009,4 Year August,Hispanic,58.9
2009,5 Year  June,Hispanic,65.4
2009,5 Year August,Hispanic,66.8
2010,4 Year  June,Hispanic,56.6
2010,4 Year August,Hispanic,61.4
2010,5 Year  June,Hispanic,67.4
2010,5 Year August,Hispanic,68.5
2011,4 Year  June,Hispanic,60.4
2011,4 Year August,Hispanic,64
2001,4 Year  June,White,64
2001,5 Year  June,White,70.8
2002,4 Year  June,White,66.8
2002,5 Year  June,White,74.1
2003,4 Year  June,White,69
2003,5 Year  June,White,75.6
2004,4 Year  June,White,71.5
2004,4 Year August,White,74.8
2004,5 Year  June,White,78.2
2005,4 Year  June,White,73.9
2005,4 Year August,White,76.5
2005,5 Year  June,White,79.7
2006,4 Year  June,White,75.5
2006,4 Year August,White,78.2
2006,5 Year  June,White,80.8
2006,5 Year August,White,81.2
2007,4 Year  June,White,75.6
2007,4 Year August,White,78.9
2007,5 Year  June,White,81.6
2007,5 Year August,White,82.3
2008,4 Year  June,White,75.1
2008,4 Year August,White,78.1
2008,5 Year  June,White,81.1
2008,5 Year August,White,81.6
2009,4 Year  June,White,76.4
2009,4 Year August,White,79.7
2009,5 Year  June,White,82.7
2009,5 Year August,White,83.3
2010,4 Year  June,White,77.8
2010,4 Year August,White,80.7
2010,5 Year  June,White,83.9
2010,5 Year August,White,84.4
2011,4 Year  June,White,80.1
2011,4 Year August,White,82
